relationship_id,start_entity,end_entity,relationship_type
1,小麦,低GI食物,BELONG_TO
2,大麦,低GI食物,BELONG_TO
3,黑麦,低GI食物,BELONG_TO
4,荞麦,低GI食物,BELONG_TO
5,黑米,低GI食物,BELONG_TO
6,莜麦,低GI食物,BELONG_TO
7,燕麦,低GI食物,BELONG_TO
8,青稞,低GI食物,BELONG_TO
9,玉米,低GI食物,BELONG_TO
10,稻麸,低GI食物,BELONG_TO
11,燕麦麸,低GI食物,BELONG_TO
12,青稞麸,低GI食物,BELONG_TO
13,糙米饭,中GI食物,BELONG_TO
14,大米饭,高GI食物,BELONG_TO
15,糯米饭,高GI食物,BELONG_TO
16,速食米饭,高GI食物,BELONG_TO
17,玉米粒粥,低GI食物,BELONG_TO
18,燕麦片粥,低GI食物,BELONG_TO
19,小米粥,中GI食物,BELONG_TO
20,即食大米粥,高GI食物,BELONG_TO
21,白面馒头,高GI食物,BELONG_TO
22,通心面,低GI食物,BELONG_TO
23,意大利面,低GI食物,BELONG_TO
24,乌冬面,低GI食物,BELONG_TO
25,全麦面,中GI食物,BELONG_TO
26,黄豆挂面,中GI食物,BELONG_TO
27,荞麦面条,中GI食物,BELONG_TO
28,玉米饼,低GI食物,BELONG_TO
29,薄煎饼,低GI食物,BELONG_TO
30,印度卷饼,中GI食物,BELONG_TO
31,比萨饼（含乳酪）,中GI食物,BELONG_TO
32,烙饼,高GI食物,BELONG_TO
33,米饼,高GI食物,BELONG_TO
34,黑麦粒面包,低GI食物,BELONG_TO
35,大麦粒面包,低GI食物,BELONG_TO
36,小麦粒面包,低GI食物,BELONG_TO
37,全麦面包,中GI食物,BELONG_TO
38,大麦面包,中GI食物,BELONG_TO
39,燕麦面包,中GI食物,BELONG_TO
40,高纤面包,中GI食物,BELONG_TO
41,白面包,高GI食物,BELONG_TO
42,燕麦粗粉饼干,低GI食物,BELONG_TO
43,牛奶香脆饼干,低GI食物,BELONG_TO
44,小麦饼干,中GI食物,BELONG_TO
45,油酥脆饼干,中GI食物,BELONG_TO
46,梳打饼干,高GI食物,BELONG_TO
47,华夫饼干,高GI食物,BELONG_TO
48,膨化薄脆饼干,高GI食物,BELONG_TO
49,山药,低GI食物,BELONG_TO
50,雪魔芋,低GI食物,BELONG_TO
51,芋头（蒸）,低GI食物,BELONG_TO
52,山芋,低GI食物,BELONG_TO
53,土豆粉条,低GI食物,BELONG_TO
54,藕粉,低GI食物,BELONG_TO
55,苕粉,低GI食物,BELONG_TO
56,豌豆粉丝,低GI食物,BELONG_TO
57,土豆（煮、蒸、烤）,中GI食物,BELONG_TO
58,土豆片（油炸）,中GI食物,BELONG_TO
59,土豆泥,高GI食物,BELONG_TO
60,红薯（煮）,高GI食物,BELONG_TO
61,黄豆,低GI食物,BELONG_TO
62,黑豆,低GI食物,BELONG_TO
63,青豆,低GI食物,BELONG_TO
64,绿豆,低GI食物,BELONG_TO
65,蚕豆,低GI食物,BELONG_TO
66,鹰嘴豆,低GI食物,BELONG_TO
67,芸豆,低GI食物,BELONG_TO
68,豆腐,低GI食物,BELONG_TO
69,豆腐干,低GI食物,BELONG_TO
70,芦笋,低GI食物,BELONG_TO
71,菜花,低GI食物,BELONG_TO
72,西兰花,低GI食物,BELONG_TO
73,芹菜,低GI食物,BELONG_TO
74,黄瓜,低GI食物,BELONG_TO
75,茄子,低GI食物,BELONG_TO
76,莴笋,低GI食物,BELONG_TO
77,生菜,低GI食物,BELONG_TO
78,青椒,低GI食物,BELONG_TO
79,西红柿,低GI食物,BELONG_TO
80,菠菜,低GI食物,BELONG_TO
81,甜菜,中GI食物,BELONG_TO
82,南瓜,高GI食物,BELONG_TO
83,苹果,低GI食物,BELONG_TO
84,梨,低GI食物,BELONG_TO
85,桃,低GI食物,BELONG_TO
86,李子,低GI食物,BELONG_TO
87,樱桃,低GI食物,BELONG_TO
88,葡萄,低GI食物,BELONG_TO
89,猕猴桃,低GI食物,BELONG_TO
90,柑橘,低GI食物,BELONG_TO
91,芒果,低GI食物,BELONG_TO
92,芭蕉,低GI食物,BELONG_TO
93,香蕉,低GI食物,BELONG_TO
94,草莓,低GI食物,BELONG_TO
95,菠萝,中GI食物,BELONG_TO
96,哈密瓜,中GI食物,BELONG_TO
97,水果罐头（如桃、杏）,中GI食物,BELONG_TO
98,葡萄干,中GI食物,BELONG_TO
99,西瓜,高GI食物,BELONG_TO
100,牛奶,低GI食物,BELONG_TO
101,奶粉,低GI食物,BELONG_TO
102,酸奶,低GI食物,BELONG_TO
103,酸乳酪,低GI食物,BELONG_TO
104,花生,低GI食物,BELONG_TO
105,腰果,低GI食物,BELONG_TO
106,巧克力,低GI食物,BELONG_TO
107,乳糖,低GI食物,BELONG_TO
108,葡萄糖,高GI食物,BELONG_TO
109,麦芽糖,高GI食物,BELONG_TO
110,白糖,高GI食物,BELONG_TO
111,蜂蜜,高GI食物,BELONG_TO
112,胶质软糖,高GI食物,BELONG_TO
113,糖尿病,低GI食物,SUITABLE
114,糖尿病,中GI食物,LIMIT
115,糖尿病,高GI食物,AVOID
116,糖尿病,小麦,SUITABLE
117,糖尿病,大麦,SUITABLE
118,糖尿病,黑麦,SUITABLE
119,糖尿病,荞麦,SUITABLE
120,糖尿病,黑米,SUITABLE
121,糖尿病,莜麦,SUITABLE
122,糖尿病,燕麦,SUITABLE
123,糖尿病,青稞,SUITABLE
124,糖尿病,玉米,SUITABLE
125,糖尿病,稻麸,SUITABLE
126,糖尿病,燕麦麸,SUITABLE
127,糖尿病,青稞麸,SUITABLE
128,糖尿病,玉米粒粥,SUITABLE
129,糖尿病,燕麦片粥,SUITABLE
130,糖尿病,通心面,SUITABLE
131,糖尿病,意大利面,SUITABLE
132,糖尿病,乌冬面,SUITABLE
133,糖尿病,玉米饼,SUITABLE
134,糖尿病,薄煎饼,SUITABLE
135,糖尿病,黑麦粒面包,SUITABLE
136,糖尿病,大麦粒面包,SUITABLE
137,糖尿病,小麦粒面包,SUITABLE
138,糖尿病,燕麦粗粉饼干,SUITABLE
