entity_id,entity_name,entity_category
小麦,小麦,食物
大麦,大麦,食物
黑麦,黑麦,食物
荞麦,荞麦,食物
黑米,黑米,食物
莜麦,莜麦,食物
燕麦,燕麦,食物
青稞,青稞,食物
玉米,玉米,食物
稻麸,稻麸,食物
燕麦麸,燕麦麸,食物
青稞麸,青稞麸,食物
糙米饭,糙米饭,食物
大米饭,大米饭,食物
糯米饭,糯米饭,食物
速食米饭,速食米饭,食物
玉米粒粥,玉米粒粥,食物
燕麦片粥,燕麦片粥,食物
小米粥,小米粥,食物
即食大米粥,即食大米粥,食物
白面馒头,白面馒头,食物
通心面,通心面,食物
意大利面,意大利面,食物
乌冬面,乌冬面,食物
全麦面,全麦面,食物
黄豆挂面,黄豆挂面,食物
荞麦面条,荞麦面条,食物
玉米饼,玉米饼,食物
薄煎饼,薄煎饼,食物
印度卷饼,印度卷饼,食物
比萨饼（含乳酪）,比萨饼（含乳酪）,食物
烙饼,烙饼,食物
米饼,米饼,食物
黑麦粒面包,黑麦粒面包,食物
大麦粒面包,大麦粒面包,食物
小麦粒面包,小麦粒面包,食物
全麦面包,全麦面包,食物
大麦面包,大麦面包,食物
燕麦面包,燕麦面包,食物
高纤面包,高纤面包,食物
白面包,白面包,食物
燕麦粗粉饼干,燕麦粗粉饼干,食物
牛奶香脆饼干,牛奶香脆饼干,食物
小麦饼干,小麦饼干,食物
油酥脆饼干,油酥脆饼干,食物
梳打饼干,梳打饼干,食物
华夫饼干,华夫饼干,食物
膨化薄脆饼干,膨化薄脆饼干,食物
山药,山药,食物
雪魔芋,雪魔芋,食物
芋头（蒸）,芋头（蒸）,食物
山芋,山芋,食物
土豆粉条,土豆粉条,食物
藕粉,藕粉,食物
苕粉,苕粉,食物
豌豆粉丝,豌豆粉丝,食物
土豆（煮、蒸、烤）,土豆（煮、蒸、烤）,食物
土豆片（油炸）,土豆片（油炸）,食物
土豆泥,土豆泥,食物
红薯（煮）,红薯（煮）,食物
黄豆,黄豆,食物
黑豆,黑豆,食物
青豆,青豆,食物
绿豆,绿豆,食物
蚕豆,蚕豆,食物
鹰嘴豆,鹰嘴豆,食物
芸豆,芸豆,食物
豆腐,豆腐,食物
豆腐干,豆腐干,食物
芦笋,芦笋,食物
菜花,菜花,食物
西兰花,西兰花,食物
芹菜,芹菜,食物
黄瓜,黄瓜,食物
茄子,茄子,食物
莴笋,莴笋,食物
生菜,生菜,食物
青椒,青椒,食物
西红柿,西红柿,食物
菠菜,菠菜,食物
甜菜,甜菜,食物
南瓜,南瓜,食物
苹果,苹果,食物
梨,梨,食物
桃,桃,食物
李子,李子,食物
樱桃,樱桃,食物
葡萄,葡萄,食物
猕猴桃,猕猴桃,食物
柑橘,柑橘,食物
芒果,芒果,食物
芭蕉,芭蕉,食物
香蕉,香蕉,食物
草莓,草莓,食物
菠萝,菠萝,食物
